n,m,batch_size,solved,max_err,mean_err,gpu_time,cpu_time
10,1,6000,6000,8.149072527885437e-10,1.1229770491589324e-12,0.0014510154724121094,0.6415627002716064
10,1,6100,6100,2.148624389519682e-09,1.3619136591318125e-12,0.0014290809631347656,0.6523408889770508
10,1,6200,6200,7.073595043038949e-10,1.2354600822774055e-12,0.001440286636352539,0.659883975982666
10,1,6300,6300,1.2856844477937557e-09,1.48256353329322e-12,0.0014424324035644531,0.6705167293548584
10,1,6400,6400,2.3258053261088207e-09,1.4869186298448975e-12,0.0015251636505126953,0.6793875694274902
10,1,6500,6500,1.1482086392788915e-09,1.4498356031369275e-12,0.0014467239379882812,0.691068172454834
10,1,6600,6600,1.5378418538603e-09,1.5459747864881021e-12,0.0014886856079101562,0.7019846439361572
10,1,6700,6700,3.6392293623066507e-09,1.913197498987297e-12,0.0014710426330566406,0.7153031826019287
10,1,6800,6800,1.4487682165054139e-09,1.6123536610183404e-12,0.0014541149139404297,0.7269039154052734
10,1,6900,6900,2.0862671590293758e-09,1.8351145275348987e-12,0.0014605522155761719,0.7378952503204346
10,1,7000,7000,1.4873648979119025e-09,1.7586787727220704e-12,0.0015180110931396484,0.7466535568237305
10,1,7100,7100,1.3773160389973782e-09,1.566122535562174e-12,0.00145721435546875,0.7570888996124268
10,1,7200,7200,1.800799509510398e-09,1.1646477207282963e-12,0.0014679431915283203,0.7656364440917969
10,1,7300,7300,1.6848389350343496e-09,1.4583288338400447e-12,0.0014657974243164062,0.7741994857788086
10,1,7400,7400,2.770093487924896e-09,1.692320159108887e-12,0.0014758110046386719,0.789989709854126
10,1,7500,7500,3.1104718800634146e-09,1.4274166886294023e-12,0.0014863014221191406,0.7965660095214844
10,1,7600,7600,2.0786501409020275e-09,1.3562171094764628e-12,0.0014917850494384766,0.8115832805633545
10,1,7700,7700,2.5132749215117656e-09,1.6436210285133263e-12,0.0015265941619873047,0.8178524971008301
10,1,7800,7800,1.3117755770508666e-09,1.5969006191791354e-12,0.0015387535095214844,0.8313181400299072
10,1,7900,7900,8.009237717487849e-10,1.4300384196660619e-12,0.0015187263488769531,0.8422596454620361
10,1,8000,8000,1.3583303370978683e-09,1.7496549825375102e-12,0.0015597343444824219,0.8806138038635254
10,1,8100,8100,1.8984849248226965e-09,1.7238450863610522e-12,0.0015969276428222656,0.8679604530334473
10,1,8200,8200,2.211152150266571e-09,1.3587824923611327e-12,0.002040386199951172,0.8772568702697754
10,1,8300,8300,1.8177388483309187e-09,1.5253170466110898e-12,0.0017549991607666016,0.9158735275268555
10,1,8400,8400,1.9275603335699998e-09,1.36758198826036e-12,0.0018754005432128906,0.912477970123291
10,1,8500,8500,2.789420250337571e-09,1.5583335190420674e-12,0.0019207000732421875,0.910606861114502
